No	x	y	z	Rx	Ry	Rz
358 -0.411545 8.28979 -6.01071 90 182.842 0
359 -0.958522 8.24447 -6.01071 90 186.632 0
360 -1.50131 8.16309 -6.01071 90 190.421 0
361 -2.03753 8.04602 -6.01071 90 194.211 0
362 -2.56484 7.89377 -6.01071 90 198 0
363 -3.08094 7.707 -6.01071 90 201.789 0
364 -3.58356 7.48653 -6.01071 90 205.579 0
365 -4.07052 7.23332 -6.01071 90 209.368 0
366 -4.53967 6.94848 -6.01071 90 213.158 0
367 -4.98897 6.63326 -6.01071 90 216.947 0
368 -5.41646 6.28903 -6.01071 90 220.737 0
369 -5.82027 5.91731 -6.01071 90 224.526 0
370 -6.19862 5.5197 -6.01071 90 228.316 0
371 -6.54987 5.09797 -6.01071 90 232.105 0
372 -6.87247 4.65393 -6.01071 90 235.895 0
373 -7.16503 4.18955 -6.01071 90 239.684 0
374 -7.42625 3.70685 -6.01071 90 243.474 0
375 -7.655 3.20794 -6.01071 90 247.263 0
376 -7.85028 2.69501 -6.01071 90 251.053 0
377 -8.01123 2.17028 -6.01071 90 254.842 0
378 -8.13715 1.63607 -6.01071 90 258.632 0
379 -8.22749 1.09471 -6.01071 90 262.421 0
380 -8.28185 0.548552 -6.01071 90 266.211 0
381 -8.3 -2.97953e-08 -5.46429 90 -90 0
382 -8.28185 -0.548552 -5.46429 90 -86.2105 0
383 -8.22749 -1.09471 -5.46429 90 -82.4211 0
384 -8.13715 -1.63607 -5.46429 90 -78.6316 0
385 -8.01123 -2.17028 -5.46429 90 -74.8421 0
386 -7.85028 -2.69501 -5.46429 90 -71.0526 0
387 -7.655 -3.20794 -5.46429 90 -67.2632 0
388 -7.42625 -3.70685 -5.46429 90 -63.4737 0
389 -7.16503 -4.18955 -5.46429 90 -59.6842 0
390 -6.87247 -4.65393 -5.46429 90 -55.8947 0
391 -6.54987 -5.09797 -5.46429 90 -52.1053 0
392 -6.19862 -5.5197 -5.46429 90 -48.3158 0
393 -5.82027 -5.91731 -5.46429 90 -44.5263 0
394 -5.41646 -6.28903 -5.46429 90 -40.7368 0
395 -4.98897 -6.63326 -5.46429 90 -36.9474 0
396 -4.53967 -6.94848 -5.46429 90 -33.1579 0
397 -4.07052 -7.23332 -5.46429 90 -29.3684 0
398 -3.58356 -7.48653 -5.46429 90 -25.5789 0
399 -3.08094 -7.707 -5.46429 90 -21.7895 0
400 -2.56484 -7.89377 -5.46429 90 -18 0
401 -2.03753 -8.04602 -5.46429 90 -14.2105 0
402 -1.50131 -8.16309 -5.46429 90 -10.4211 0
403 -0.958522 -8.24447 -5.46429 90 -6.63158 0
404 -0.411545 -8.28979 -5.46429 90 -2.84211 0
405 0.137232 -8.29887 -5.46429 90 0.947368 0
406 0.685409 -8.27165 -5.46429 90 4.73684 0
407 1.23059 -8.20827 -5.46429 90 8.52632 0
408 1.77039 -8.10899 -5.46429 90 12.3158 0
409 2.30244 -7.97426 -5.46429 90 16.1053 0
410 2.82443 -7.80465 -5.46429 90 19.8947 0
411 3.33407 -7.60092 -5.46429 90 23.6842 0
412 3.82913 -7.36395 -5.46429 90 27.4737 0
413 4.30745 -7.09478 -5.46429 90 31.2632 0
414 4.76693 -6.79459 -5.46429 90 35.0526 0
415 5.20556 -6.46468 -5.46429 90 38.8421 0
416 5.62144 -6.10651 -5.46429 90 42.6316 0
417 6.01273 -5.72163 -5.46429 90 46.4211 0
418 6.37773 -5.31174 -5.46429 90 50.2105 0
419 6.71484 -4.87862 -5.46429 90 54 0
420 7.02259 -4.42416 -5.46429 90 57.7895 0
421 7.29963 -3.95036 -5.46429 90 61.5789 0
422 7.54475 -3.45929 -5.46429 90 65.3684 0
423 7.75689 -2.95309 -5.46429 90 69.1579 0
424 7.9351 -2.43398 -5.46429 90 72.9474 0
425 8.07861 -1.90422 -5.46429 90 76.7368 0
426 8.1868 -1.36614 -5.46429 90 80.5263 0
427 8.25919 -0.822078 -5.46429 90 84.3158 0
428 8.29546 -0.274426 -5.46429 90 88.1053 0
429 8.29546 0.274426 -5.46429 90 91.8947 0
430 8.25919 0.822078 -5.46429 90 95.6842 0
431 8.1868 1.36614 -5.46429 90 99.4737 0
432 8.07861 1.90422 -5.46429 90 103.263 0
433 7.9351 2.43398 -5.46429 90 107.053 0
434 7.75689 2.95309 -5.46429 90 110.842 0
435 7.54475 3.45929 -5.46429 90 114.632 0
436 7.29963 3.95036 -5.46429 90 118.421 0
437 7.02259 4.42416 -5.46429 90 122.211 0
438 6.71484 4.87862 -5.46429 90 126 0
439 6.37773 5.31174 -5.46429 90 129.789 0
440 6.01273 5.72163 -5.46429 90 133.579 0
441 5.62144 6.10651 -5.46429 90 137.368 0
442 5.20556 6.46468 -5.46429 90 141.158 0
443 4.76693 6.79459 -5.46429 90 144.947 0
444 4.30745 7.09478 -5.46429 90 148.737 0
445 3.82913 7.36395 -5.46429 90 152.526 0
446 3.33407 7.60092 -5.46429 90 156.316 0
447 2.82443 7.80465 -5.46429 90 160.105 0
448 2.30244 7.97426 -5.46429 90 163.895 0
449 1.77039 8.10899 -5.46429 90 167.684 0
450 1.23059 8.20827 -5.46429 90 171.474 0
451 0.685409 8.27165 -5.46429 90 175.263 0
452 0.137232 8.29887 -5.46429 90 179.053 0
453 -0.411545 8.28979 -5.46429 90 182.842 0
454 -0.958522 8.24447 -5.46429 90 186.632 0
455 -1.50131 8.16309 -5.46429 90 190.421 0
456 -2.03753 8.04602 -5.46429 90 194.211 0
457 -2.56484 7.89377 -5.46429 90 198 0
458 -3.08094 7.707 -5.46429 90 201.789 0
459 -3.58356 7.48653 -5.46429 90 205.579 0
460 -4.07052 7.23332 -5.46429 90 209.368 0
461 -4.53967 6.94848 -5.46429 90 213.158 0
462 -4.98897 6.63326 -5.46429 90 216.947 0
463 -5.41646 6.28903 -5.46429 90 220.737 0
464 -5.82027 5.91731 -5.46429 90 224.526 0
465 -6.19862 5.5197 -5.46429 90 228.316 0
466 -6.54987 5.09797 -5.46429 90 232.105 0
467 -6.87247 4.65393 -5.46429 90 235.895 0
468 -7.16503 4.18955 -5.46429 90 239.684 0
469 -7.42625 3.70685 -5.46429 90 243.474 0
470 -7.655 3.20794 -5.46429 90 247.263 0
471 -7.85028 2.69501 -5.46429 90 251.053 0
472 -8.01123 2.17028 -5.46429 90 254.842 0
473 -8.13715 1.63607 -5.46429 90 258.632 0
474 -8.22749 1.09471 -5.46429 90 262.421 0
475 -8.28185 0.548552 -5.46429 90 266.211 0
476 -8.3 -2.97953e-08 -4.91786 90 -90 0
477 -8.28185 -0.548552 -4.91786 90 -86.2105 0
478 -8.22749 -1.09471 -4.91786 90 -82.4211 0
479 -8.13715 -1.63607 -4.91786 90 -78.6316 0
480 -8.01123 -2.17028 -4.91786 90 -74.8421 0
481 -7.85028 -2.69501 -4.91786 90 -71.0526 0
482 -7.655 -3.20794 -4.91786 90 -67.2632 0
483 -7.42625 -3.70685 -4.91786 90 -63.4737 0
484 -7.16503 -4.18955 -4.91786 90 -59.6842 0
485 -6.87247 -4.65393 -4.91786 90 -55.8947 0
486 -6.54987 -5.09797 -4.91786 90 -52.1053 0
487 -6.19862 -5.5197 -4.91786 90 -48.3158 0
488 -5.82027 -5.91731 -4.91786 90 -44.5263 0
489 -5.41646 -6.28903 -4.91786 90 -40.7368 0
490 -4.98897 -6.63326 -4.91786 90 -36.9474 0
491 -4.53967 -6.94848 -4.91786 90 -33.1579 0
492 -4.07052 -7.23332 -4.91786 90 -29.3684 0
493 -3.58356 -7.48653 -4.91786 90 -25.5789 0
494 -3.08094 -7.707 -4.91786 90 -21.7895 0
495 -2.56484 -7.89377 -4.91786 90 -18 0
496 -2.03753 -8.04602 -4.91786 90 -14.2105 0
497 -1.50131 -8.16309 -4.91786 90 -10.4211 0
498 -0.958522 -8.24447 -4.91786 90 -6.63158 0
499 -0.411545 -8.28979 -4.91786 90 -2.84211 0
500 0.137232 -8.29887 -4.91786 90 0.947368 0
501 0.685409 -8.27165 -4.91786 90 4.73684 0
502 1.23059 -8.20827 -4.91786 90 8.52632 0
503 1.77039 -8.10899 -4.91786 90 12.3158 0
504 2.30244 -7.97426 -4.91786 90 16.1053 0
